날짜	강수량	평균기온
2019-10-25	0.3	16.9
2014-12-09	0.0	-0.9
2020-03-28	0.0	7.2
2010-06-12	11.9	20.3
2019-07-31	6.0	28.4
2017-03-14	0.6	5.5
2018-07-12	0.0	27.4
2016-10-09	0.0	12.8
2015-08-18	0.0	25.2
2010-12-22	0.0	3.7
2012-06-15	4.5	20.4
2011-06-12	0.8	22.2
2014-04-12	0.1	13.4
2019-04-10	8.5	7.2
2010-07-24	6.7	26.0
2016-02-06	-0.5	-1.4
2014-09-15	0.1	21.7
2015-04-04	17.8	11.1
2014-05-19	0.0	19.4
2011-05-23	3.5	15.7
2016-10-30	0.0	8.1
2017-01-19	0.0	0.1
2020-04-17	14.1	11.7
2020-07-25	8.2	22.3
2012-07-30	1.2	28.8
2010-08-03	1.8	26.2
2011-07-20	0.0	26.7
2020-03-21	0.3	13.2
2017-09-12	0.0	21.8
2010-03-11	0.0	3.0
2017-01-16	0.0	-3.0
2014-05-02	0.2	17.4
2020-08-15	8.5	28.0
2018-03-27	0.0	13.7
2017-04-01	3.4	7.5
2016-05-27	0.1	21.5
2010-04-24	0.0	10.5
2010-12-06	1.0	6.0
2018-05-06	19.5	15.9
2010-06-03	0.0	20.5
2012-09-25	0.0	19.2
2017-12-11	0.2	-3.0
2014-05-06	0.0	12.7
2018-01-13	0.1	-3.1
2010-04-20	0.2	15.6
2013-11-20	0.1	3.4
2012-08-15	42.8	26.5
2015-12-19	0.0	1.4
2019-03-22	0.0	5.2
2010-05-26	0.2	16.3
2016-04-20	0.7	13.9
2013-08-24	31.0	24.7
2017-05-14	0.0	16.7
2016-04-13	13.1	14.2
2015-08-02	5.1	27.0
2019-02-05	0.0	2.9
2019-02-16	0.1	-0.3
2020-08-22	8.6	25.4
2011-12-14	0.0	3.9
2017-04-11	10.8	12.2
2013-06-05	0.0	22.3
2019-03-30	3.0	7.2
2015-10-18	0.0	16.2
2012-10-29	0.0	12.1
2016-02-03	0.0	-1.8
2012-04-26	0.5	13.1
2013-07-30	8.5	26.3
2014-10-11	0.0	18.5
2019-05-02	0.0	16.0
2016-04-21	28.8	13.8
2010-11-16	0.0	3.4
2020-08-21	1.1	26.1
2019-01-17	0.0	0.4
2014-11-25	1.7	10.2
2014-08-24	5.7	24.2
2012-04-17	0.0	11.9
2014-06-24	2.5	21.8
2015-09-13	0.0	18.6
2010-02-03	0.0	-4.9
2011-07-09	84.4	23.2
2012-05-06	0.0	17.7
2019-02-25	0.0	6.0
2010-07-11	57.6	22.1
2020-02-19	0.0	2.4
2014-11-17	0.5	7.1
2016-03-04	9.7	9.4
2018-10-22	0.0	12.8
2019-06-25	0.0	23.6
2019-08-09	0.1	28.3
2013-09-13	14.4	24.2
2018-03-01	0.9	2.8
2017-05-23	1.4	19.6
2014-11-20	0.0	6.2
2017-04-09	0.6	13.4
2016-02-08	0.2	1.7
2017-02-13	0.3	1.0
2018-06-02	0.0	23.1
2019-05-12	0.0	18.4
2018-11-08	34.6	14.0
2019-04-21	0.1	16.5
